,Title,Release Year,Length,Parental,Director,Cast,Plot,IMDB Rank,IMDB rating,Image URL
130,The Kid,1921,1h 8m,Passed,Charles Chaplin,Charles Chaplin as A Tramp(as Charlie Chaplin) as Edna Purviance as The Woman as Jackie Coogan as The Child(as Jack Coogan) as Carl Miller as The Man as Albert Austin as Car Thief(uncredited)… as Beulah Bains as Bride(uncredited) as Nellie Bly Baker as Slum Nurse(uncredited) as Henry Bergman as Professor Guido(uncredited)… as Edward Biby as Orphan Asylum Driver(uncredited) as B.F. Blinn as His Assistant(uncredited) as Kitty Bradbury as Bride's Mother(uncredited) as Frank Campeau as Welfare Officer(uncredited) as Bliss Chevalier as Extra in Wedding Scene(uncredited) as Frances Cochran as Extra in Reception Scene(uncredited) as Elsie Codd as Extra in Alley Scene(uncredited) as Jack Coogan Sr. as Pickpocket(uncredited)… as Estelle Cook as Extra in Wedding Scene(uncredited) as Lillian Crane as Extra in Wedding Scene(uncredited),"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",131,8.2,"https://m.media-amazon.com/images/M/MV5BZjhhMThhNDItNTY2MC00MmU1LTliNDEtNDdhZjdlNTY5ZDQ1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,2,190,281_.jpg"
131,The Wolf of Wall Street,2013,3h,R,Martin Scorsese,"Leonardo DiCaprio , Jordan Belfort , Jonah Hill , Donnie Azoff , Margot Robbie , Naomi Lapaglia , Matthew McConaughey , Mark Hanna , Kyle Chandler , Agent Patrick Denham , Rob Reiner , Max Belfort , Jon Bernthal , Brad , Jon Favreau , Manny Riskin , Jean Dujardin , Jean Jacques Saurel , Joanna Lumley , Aunt Emma , Cristin Milioti , Teresa Petrillo , Christine Ebersole , Leah Belfort , Shea Whigham , Captain Ted Beecham , Katarina Cas , Chantalle , P.J. Byrne , Nicky Koskoff ('Rugrat') , Kenneth Choi , Chester Ming , Brian Sacca , Robbie Feinberg ('Pinhead') , Henry Zebrowski , Alden Kupferberg ('Sea Otter')","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",132,8.2,"https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_QL75_UX190_CR0,0,190,281_.jpg"
132,The Father,2020,1h 37m,PG-13,Florian Zeller,"Anthony Hopkins , Anthony , Olivia Colman , Anne , Mark Gatiss , The Man , Olivia Williams , The Woman , Imogen Poots , Laura , Rufus Sewell , Paul , Ayesha Dharker , Dr Sarai , Roman Zeller , Boy , Adnan Kundi , Passerby(uncredited) , Brian Rodger , Hospital Visitor(uncredited) , Evie Wray , Lucy(uncredited)","A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",133,8.2,"https://m.media-amazon.com/images/M/MV5BZGJhNWRiOWQtMjI4OS00ZjcxLTgwMTAtMzQ2ODkxY2JkOTVlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
133,Green Book,2018,2h 10m,PG-13,Peter Farrelly,"Viggo Mortensen , Tony Lip , Mahershala Ali , Dr. Donald Shirley , Linda Cardellini , Dolores , Sebastian Maniscalco , Johnny Venere , Dimiter D. Marinov , Oleg , Mike Hatton , George , P.J. Byrne , Record Exec , Joe Cortese , Gio Loscudo , Maggie Nixon , Copa Coat Check Girl , Von Lewis , Bobby Rydell , Jon Sortland , Rydell Band Leader , Don Stark , Jules Podell , Anthony Mangano , Copa Bouncer Danny , Paul Sloan , Copa Maître D' Carmine , Quinn Duffy , Mikey Cerrone , Seth Hurwitz , Johnny Randazzo , Hudson Galloway , Nick Vallelonga , Gavin Lyle Foley , Frankie Vallelonga(as Gavin Foley)",A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,134,8.2,"https://m.media-amazon.com/images/M/MV5BYzIzYmJlYTYtNGNiYy00N2EwLTk4ZjItMGYyZTJiOTVkM2RlXkEyXkFqcGdeQXVyODY1NDk1NjE@._V1_QL75_UX190_CR0,2,190,281_.jpg"
134,All About Eve,1950,2h 18m,Passed,Joseph L. Mankiewicz,"Bette Davis , Margo , Anne Baxter , Eve , George Sanders , Addison DeWitt , Celeste Holm , Karen , Gary Merrill , Bill Simpson , Hugh Marlowe , Lloyd Richards , Gregory Ratoff , Max Fabian , Barbara Bates , Phoebe , Marilyn Monroe , Miss Casswell , Thelma Ritter , Birdie , Walter Hampden , Aged Actor , Randy Stuart , Girl , Craig Hill , Leading Man , Leland Harris , Doorman , Barbara White , Autograph Seeker , Eddie Fisher , Stage Manager , William Pullen , Clerk , Claude Stroud , Pianist",A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,135,8.2,"https://m.media-amazon.com/images/M/MV5BYmE1M2Y3NTYtYTI0Mi00N2JlLTkzMzItOTY1MTlhNWNkMDgzXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,3,190,281_.jpg"
135,Judgment at Nuremberg,1961,2h 59m,Approved,Stanley Kramer,"Spencer Tracy , Chief Judge Dan Haywood , Burt Lancaster , Dr. Ernst Janning , Richard Widmark , Col. Tad Lawson , Marlene Dietrich , Mrs. Bertholt , Maximilian Schell , Hans Rolfe , Judy Garland , Irene Hoffman , Montgomery Clift , Rudolph Petersen , William Shatner , Capt. Harrison Byers , Werner Klemperer , Emil Hahn , Kenneth MacKenna , Judge Kenneth Norris , Torben Meyer , Werner Lampe , Joseph Bernard , Maj. Abe Radnitz , Alan Baxter , Brig. Gen. Matt Merrin , Edward Binns , Sen. Burkette , Virginia Christine , Mrs. Halbestadt , Otto Waldis , Pohl , Karl Swenson , Dr. Heinrich Geuter , Martin Brandt , Friedrich Hofstetter","In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",136,8.3,"https://m.media-amazon.com/images/M/MV5BNDc2ODQ5NTE2MV5BMl5BanBnXkFtZTcwODExMjUyNA@@._V1_QL75_UX190_CR0,2,190,281_.jpg"
136,The Truman Show,1998,1h 43m,PG,Peter Weir,"Jim Carrey , Truman Burbank , Ed Harris , Christof , Laura Linney , Meryl Burbank… , Noah Emmerich , Marlon , Natascha McElhone , Lauren… , Holland Taylor , Truman's Mother , Brian Delate , Truman's Father , Blair Slater , Young Truman , Peter Krause , Lawrence , Heidi Schanz , Vivien , Ron Taylor , Ron , Don Taylor , Don , Ted Raymond , Spencer , Judy Clayton , Travel Agent , Fritz Dominique , Truman's Neighbor , Angel Schmiedt , Truman's Neighbor , Nastassja Schmiedt , Truman's Neighbor , Muriel Moore , Teacher",An insurance salesman discovers his whole life is actually a reality TV show.,137,8.2,"https://m.media-amazon.com/images/M/MV5BMDIzODcyY2EtMmY2MC00ZWVlLTgwMzAtMjQwOWUyNmJjNTYyXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX190_CR0,0,190,281_.jpg"
137,There Will Be Blood,2007,2h 38m,R,Paul Thomas Anderson,"Daniel Day-Lewis , Daniel Plainview , Paul Dano , Paul Sunday… , Ciarán Hinds , Fletcher , Martin Stringer , Silver Assay Worker , Matthew Braden Stringer , Silver Assay Worker , Jacob Stringer , Silver Assay Worker , Joseph Mussey , Silver Assay Worker , Barry Del Sherman , H.B. Ailman , Harrison Taylor , Baby HW , Stockton Taylor , Baby HW , Paul F. Tompkins , Prescott , Dillon Freasier , HW , Kevin Breznahan , Signal Hill Man , Jim Meskimen , Signal Hill Married Man , Erica Sullivan , Signal Hill Woman , Randall Carver , Mr. Bankside , Coco Leigh , Mrs. Bankside , Sydney McCallister , Mary Sunday","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",138,8.2,"https://m.media-amazon.com/images/M/MV5BMjAxODQ4MDU5NV5BMl5BanBnXkFtZTcwMDU4MjU1MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
138,Casino,1995,2h 58m,R,Martin Scorsese,"Robert De Niro , Sam 'Ace' Rothstein , Sharon Stone , Ginger McKenna , Joe Pesci , Nicky Santoro , James Woods , Lester Diamond , Don Rickles , Billy Sherbert , Alan King , Andy Stone , Kevin Pollak , Phillip Green , L.Q. Jones , Pat Webb , Dick Smothers , Senator , Frank Vincent , Frank Marino , John Bloom , Don Ward , Pasquale Cajano , Remo Gaggi , Melissa Prophet , Jennifer Santoro , Bill Allison , John Nance , Vinny Vella , Artie Piscano , Philip Suriano , Dominick Santoro(as Phillip Suriano) , Erika von Tagen , Amy Rothstein (Older) , Frankie Avalon , Frankie Avalon","In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite.",139,8.2,"https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
139,Ran,1985,2h 40m,R,Akira Kurosawa,"Tatsuya Nakadai , Lord Hidetora Ichimonji , Akira Terao , Taro Takatora Ichimonji , Jinpachi Nezu , Jiro Masatora Ichimonji , Daisuke Ryû , Saburo Naotora Ichimonji , Mieko Harada , Lady Kaede , Yoshiko Miyazaki , Lady Sue , Hisashi Igawa , Shuri Kurogane , Pîtâ , Kyoami(as Peter) , Masayuki Yui , Tango Hirayama , Kazuo Katô , Kageyu Ikoma , Norio Matsui , Shumenosuke Ogura , Toshiya Ito , Mondo Naganuma , Kenji Kodama , Samon Shirane , Takashi Watanabe , Fujimaki Clan general , Mansai Nomura , Tsurumaru(as Takeshi Nomura) , Takeshi Katô , Koyata Hatakeyama , Jun Tazaki , Seiji Ayabe , Hitoshi Ueki , Nobuhiro Fujimaki","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",140,8.2,"https://m.media-amazon.com/images/M/MV5BMmU1NGYwZWYtOWExNi00ZTEyLTgwMmUtM2ZlMDVjNWM4YjVlXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,4,190,281_.jpg"
140,Shutter Island,2010,2h 18m,R,Martin Scorsese,"Leonardo DiCaprio , Teddy Daniels , Emily Mortimer , Rachel 1 , Mark Ruffalo , Chuck Aule , Ben Kingsley , Dr. Cawley , Max von Sydow , Dr. Naehring , Michelle Williams , Dolores , Patricia Clarkson , Rachel 2 , Jackie Earle Haley , George Noyce , Ted Levine , Warden , John Carroll Lynch , Deputy Warden McPherson , Elias Koteas , Laeddis , Robin Bartlett , Bridget Kearns , Christopher Denham , Peter Breene , Nellie Sciutto , Nurse Marino , Joseph Sikora , Glen Miga(as Joe Sikora) , Curtiss Cook , Trey Washington(as Curtiss I' Cook) , Raymond Anthony Thomas , Orderly Ganton(as Ray Anthony Thomas) , Joseph McKenna , Inmate Billings","Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.",141,8.2,"https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg"
141,Pan's Labyrinth,2006,1h 58m,R,Guillermo del Toro,"Ivana Baquero , Ofelia , Ariadna Gil , Carmen , Sergi López , Vidal , Maribel Verdú , Mercedes , Doug Jones , Fauno… , Álex Angulo , Doctor Ferreiro , Manolo Solo , Garcés , César Vea , Serrano , Roger Casamajor , Pedro , Ivan Massagué , El Tarta , Gonzalo Uriarte , Francés , Eusebio Lázaro , Padre , Francisco Vidal , Sacerdote(as Paco Vidal) , Juanjo Cucalón , Alcalde , Lina Mira , Esposa del alcalde , Mario Zorrilla , Jefe de botiquín , Sebastián Haro , Capitán Guardia Civil , Mila Espiga , Esposa del doctor","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",142,8.2,"https://m.media-amazon.com/images/M/MV5BYzFjMThiMGItOWRlMC00MDI4LThmOGUtYTNlZGZiYWI1YjMyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,1,190,281_.jpg"
142,The Sixth Sense,1999,1h 47m,PG-13,M. Night Shyamalan,"Bruce Willis , Malcolm Crowe , Haley Joel Osment , Cole Sear , Toni Collette , Lynn Sear , Olivia Williams , Anna Crowe , Trevor Morgan , Tommy Tammisimo , Donnie Wahlberg , Vincent Gray , Peter Anthony Tambakis , Darren(as Peter Tambakis) , Jeffrey Zubernis , Bobby , Bruce Norris , Stanley Cunningham , Glenn Fitzgerald , Sean , Greg Wood , Mr. Collins , Mischa Barton , Kyra Collins , Angelica Page , Mrs. Collins(as Angelica Torn) , Lisa Summerour , Bridesmaid , Firdous Bamji , Young Man Buying Ring , Samia Shoaib , Young Woman Buying Ring , Hayden Saunier , Darren's Mom , Janis Dardaris , Kitchen Woman","Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.",143,8.2,"https://m.media-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_QL75_UY281_CR0,0,190,281_.jpg"
143,Jurassic Park,1993,2h 7m,PG-13,Steven Spielberg,"Sam Neill , Grant , Laura Dern , Ellie , Jeff Goldblum , Malcolm , Richard Attenborough , Hammond , Bob Peck , Muldoon , Martin Ferrero , Gennaro , BD Wong , Wu(as B. D. Wong) , Joseph Mazzello , Tim , Ariana Richards , Lex , Samuel L. Jackson , Arnold , Wayne Knight , Nedry , Gerald R. Molen , Harding(as Jerry Molen) , Miguel Sandoval , Rostagno , Cameron Thor , Dodgson , Christopher John Fields , Volunteer #1 , Whit Hertford , Volunteer Boy , Dean Cundey , Mate , Jophery C. Brown , Worker in Raptor Pen(as Jophery Brown)",A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,144,8.2,"https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_QL75_UX190_CR0,2,190,281_.jpg"
144,Unforgiven,1992,2h 10m,R,Clint Eastwood,"Clint Eastwood , Bill Munny , Gene Hackman , Little Bill Daggett , Morgan Freeman , Ned Logan , Richard Harris , English Bob , Jaimz Woolvett , The 'Schofield Kid' , Saul Rubinek , W.W. Beauchamp , Frances Fisher , Strawberry Alice , Anna Thomson , Delilah Fitzgerald , David Mucci , Quick Mike , Rob Campbell , Davey Bunting , Anthony James , Skinny Dubois , Tara Frederick , Little Sue(as Tara Dawn Frederick) , Beverley Elliott , Silky , Liisa Repo-Martell , Faith , Josie Smith , Crow Creek Kate , Shane Meier , Will Munny , Aline Levasseur , Penny Munny , Cherrilene Cardinal , Sally Two Trees","Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",145,8.2,"https://m.media-amazon.com/images/M/MV5BODM3YWY4NmQtN2Y3Ni00OTg0LWFhZGQtZWE3ZWY4MTJlOWU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
145,A Beautiful Mind,2001,2h 15m,PG-13,Ron Howard,"Russell Crowe , John Nash , Ed Harris , Parcher , Jennifer Connelly , Alicia Nash , Christopher Plummer , Dr. Rosen , Paul Bettany , Charles , Adam Goldberg , Sol , Josh Lucas , Hansen , Anthony Rapp , Bender , Jason Gray-Stanford , Ainsley , Judd Hirsch , Helinger , Austin Pendleton , Thomas King , Vivien Cardone , Marcee , Jillie Simon , Bar Co-Ed(as Jill M. Simon) , Victor Steinbach , Professor Horner , Tanya Clarke , Becky , Thomas F. Walsh , Captain , Jesse Doran , General , Kent Cassella , Analyst","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",146,8.2,"https://m.media-amazon.com/images/M/MV5BMzcwYWFkYzktZjAzNC00OGY1LWI4YTgtNzc5MzVjMDVmNjY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg"
146,The Treasure of the Sierra Madre,1948,2h 6m,Passed,John Huston,"Humphrey Bogart , Fred C. Dobbs , Walter Huston , Howard , Tim Holt , Curtin , Bruce Bennett , Cody , Barton MacLane , Pat McCormick(as Barton Mac Lane) , Alfonso Bedoya , Gold Hat , Arturo Soto Rangel , Presidente(as A. Soto Rangel) , Manuel Dondé , El Jefe(as Manuel Donde) , José Torvay , Pablo(as Jose Torvay) , Margarito Luna , Pancho , Robert Blake , Mexican Boy Selling Lottery Tickets , Guillermo Calles , Mexican Storeowner(uncredited) , Roberto Cañedo , Mexican Lieutenant(uncredited) , Spencer Chan , Proprietor(uncredited) , Jacqueline Dalya , Flashy Girl(uncredited) , Ralph Dunn , Flophouse Bum(uncredited) , Ernesto Escoto , Mexican Bandit(uncredited) , Pat Flaherty , Customer in Bar Who Warns Curtin and Dobbs about Pat McCormick",Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,147,8.2,"https://m.media-amazon.com/images/M/MV5BOTJlZWMxYzEtMjlkMS00ODE0LThlM2ItMDI3NGQ2YjhmMzkxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg"
147,No Country for Old Men,2007,2h 2m,R,Ethan Coen,"Tommy Lee Jones , Ed Tom Bell , Javier Bardem , Anton Chigurh , Josh Brolin , Llewelyn Moss , Woody Harrelson , Carson Wells , Kelly Macdonald , Carla Jean Moss , Garret Dillahunt , Wendell , Tess Harper , Loretta Bell , Barry Corbin , Ellis , Stephen Root , Man who hires Wells , Rodger Boyce , El Paso Sheriff , Beth Grant , Carla Jean's Mother , Ana Reeder , Poolside Woman , Kit Gwin , Sheriff Bell's Secretary , Zach Hopkins , Strangled Deputy , Chip Love , Man in Ford , Eduardo Antonio Garcia , 'Agua' Man , Gene Jones , Gas Station Proprietor , Myk Watford , 'Managerial' Victim",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,148,8.2,"https://m.media-amazon.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_QL75_UY281_CR1,0,190,281_.jpg"
148,Yojimbo,1961,1h 50m,Not Rated,Akira Kurosawa,"Toshirô Mifune , Sanjuro Kuwabatake… , Eijirô Tôno , Gonji - Tavern Keeper , Tatsuya Nakadai , Unosuke - Gunfighter , Yôko Tsukasa , Nui , Isuzu Yamada , Orin , Daisuke Katô , Inokichi - Ushitora's Rotund Brother , Seizaburô Kawazu , Seibê - Brothel Operator , Takashi Shimura , Tokuemon - Sake Brewer , Hiroshi Tachikawa , Yoichiro , Yôsuke Natsuki , Kohei's Son , Kamatari Fujiwara , Tazaemon , Ikio Sawamura , Hansuke , Atsushi Watanabe , The Cooper - Coffin-Maker , Susumu Fujita , Homma - Instructor Who Skips Town , Kyû Sazanka , Ushitora , Kô Nishimura , Kuma , Takeshi Katô , Ronin Kobuhachi , Ichirô Nakatani , First Samurai",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,149,8.2,"https://m.media-amazon.com/images/M/MV5BZThiZjAzZjgtNDU3MC00YThhLThjYWUtZGRkYjc2ZWZlOTVjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
149,Kill Bill: Vol. 1,2003,1h 51m,R,Quentin Tarantino,"Uma Thurman , The Bride , David Carradine , Bill , Daryl Hannah , Elle Driver , Michael Madsen , Budd , Lucy Liu , O-Ren Ishii , Vivica A. Fox , Vernita Green , Julie Dreyfus , Sofie Fatale , Chiaki Kuriyama , Gogo Yubari , Shin'ichi Chiba , Hattori Hanzo(as Sonny Chiba) , Chia-Hui Liu , Johnny Mo(as Gordon Liu) , Michael Parks , Earl McGraw , Michael Bowen , Buck , Jun Kunimura , Boss Tanaka , Kenji Ôba , Bald Guy (Sushi Shop)(as Kenji Oba) , Yuki Kazamatsuri , Proprietor , James Parks , Edgar McGraw , Sakichi Sato , Charlie Brown , Jonathan Loughran , Trucker","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",150,8.2,"https://m.media-amazon.com/images/M/MV5BNzM3NDFhYTAtYmU5Mi00NGRmLTljYjgtMDkyODQ4MjNkMGY2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,2,190,281_.jpg"
150,The Thing,1982,1h 49m,R,John Carpenter,"Kurt Russell , MacReady , Wilford Brimley , Dr. Blair(as A. Wilford Brimley) , Keith David , Childs , Richard Masur , Clark , T.K. Carter , Nauls , David Clennon , Palmer , Richard Dysart , Dr. Copper , Charles Hallahan , Vance Norris , Peter Maloney , George Bennings , Donald Moffat , Garry , Joel Polis , Fuchs , Thomas G. Waites , Windows(as Thomas Waites) , Norbert Weisser , Norwegian , Larry Franco , Norwegian Passenger with Rifle , Nate Irwin , Helicopter Pilot , William Zeman , Pilot , Adrienne Barbeau , Computer(voice)(uncredited) , John Carpenter , Norwegian (video footage)(uncredited)",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,151,8.2,"https://m.media-amazon.com/images/M/MV5BNGViZWZmM2EtNGYzZi00ZDAyLTk3ODMtNzIyZTBjN2Y1NmM1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg"
151,Monty Python and the Holy Grail,1975,1h 31m,PG,Terry Gilliam,"Graham Chapman , King Arthur… , John Cleese , Second Swallow-Savvy Guard… , Eric Idle , Dead Collector… , Terry Gilliam , Patsy… , Terry Jones , Dennis's Mother… , Michael Palin , First Swallow-Savvy Guard… , Connie Booth , The Witch , Carol Cleveland , Zoot… , Neil Innes , First Monk… , Bee Duffell , Old Crone , John Young , Dead Body… , Rita Davies , Historian's Wife , Avril Stewart , Dr. Piglet , Sally Kinghorn , Dr. Winston , Mark Zycon , Prisoner , Elspeth Cameron , Girl in Castle Anthrax , Mitsuko Forstater , Girl in Castle Anthrax , Sandy Johnson , Knight of Ni…","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",152,8.2,"https://m.media-amazon.com/images/M/MV5BN2IyNTE4YzUtZWU0Mi00MGIwLTgyMmQtMzQ4YzQxYWNlYWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
152,The Great Escape,1963,2h 52m,Approved,John Sturges,"Steve McQueen , Hilts 'The Cooler King' , James Garner , Hendley 'The Scrounger' , Richard Attenborough , Bartlett 'Big X' , Charles Bronson , Danny 'Tunnel King' , James Donald , Ramsey 'The SBO' , Donald Pleasence , Blythe 'The Forger' , James Coburn , Sedgwick 'Manufacturer' , Hannes Messemer , Von Luger 'The Kommandant' , David McCallum , Ashley-Pitt 'Dispersal' , Gordon Jackson , MacDonald 'Intelligence' , John Leyton , Willie 'Tunnel King' , Angus Lennie , Ives 'The Mole' , Nigel Stock , Cavendish 'The Surveyor' , Robert Graf , Werner 'The Ferret' , Jud Taylor , Goff , Hans Reiser , Herr Kuhn , Harry Riebauer , Strachwitz , William Russell , Sorren",Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,153,8.2,"https://m.media-amazon.com/images/M/MV5BNzA2NmYxMWUtNzBlMC00MWM2LTkwNmQtYTFlZjQwODNhOWE0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX190_CR0,8,190,281_.jpg"
153,Finding Nemo,2003,1h 40m,G,Andrew Stanton,"Albert Brooks , Marlin(voice) , Ellen DeGeneres , Dory(voice) , Alexander Gould , Nemo(voice) , Willem Dafoe , Gill(voice) , Brad Garrett , Bloat(voice) , Allison Janney , Peach(voice) , Austin Pendleton , Gurgle(voice) , Stephen Root , Bubbles(voice) , Vicki Lewis , Deb(voice)… , Joe Ranft , Jacques(voice) , Geoffrey Rush , Nigel(voice) , Andrew Stanton , Crush(voice) , Elizabeth Perkins , Coral(voice) , Nicholas Bird , Squirt(voice) , Bob Peterson , Mr. Ray(voice) , Barry Humphries , Bruce(voice) , Eric Bana , Anchor(voice) , Bruce Spence , Chum(voice)","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",154,8.2,"https://m.media-amazon.com/images/M/MV5BZmYxZjg3OWEtNzg5Yi00M2YzLWI1YzYtYTQ0NTgwNzhjN2E1XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_QL75_UX190_CR0,0,190,281_.jpg"
154,Rashomon,1950,1h 28m,Not Rated,Akira Kurosawa,"Toshirô Mifune , Tajômaru , Machiko Kyô , Masako Kanazawa , Masayuki Mori , Takehiro Kanazawa , Takashi Shimura , Woodcutter , Minoru Chiaki , Priest , Kichijirô Ueda , Commoner , Noriko Honma , Medium , Daisuke Katô , Policeman","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",155,8.2,"https://m.media-amazon.com/images/M/MV5BOTUwOTc3YzctMjJiZi00ZjE2LWFhODQtOTMyY2Q1MjU2OGI4XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_QL75_UX190_CR0,2,190,281_.jpg"
155,The Elephant Man,1980,2h 4m,PG,David Lynch,"Anthony Hopkins , Dr. Frederick Treves , John Hurt , John Merrick , Anne Bancroft , Mrs. Kendal , John Gielgud , Carr Gomm , Wendy Hiller , Mothershead , Freddie Jones , Bytes , Michael Elphick , Night Porter , Hannah Gordon , Mrs. Treves , Helen Ryan , Princess Alex , John Standing , Fox , Dexter Fletcher , Bytes' Boy , Lesley Dunlop , Nora , Phoebe Nicholls , Merrick's Mother , Pat Gorman , Fairground Bobby , Claire Davenport , Fat Lady , Orla Pederson , Skeleton Man , Patsy Smart , Distraught Woman , Frederick Treves , Alderman","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",156,8.2,"https://m.media-amazon.com/images/M/MV5BMDVjNjIwOGItNDE3Ny00OThjLWE0NzQtZTU3YjMzZTZjMzhkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,1,190,281_.jpg"
156,Chinatown,1974,2h 10m,R,Roman Polanski,"Jack Nicholson , J.J. Gittes , Faye Dunaway , Evelyn Mulwray , John Huston , Noah Cross , Perry Lopez , Escobar , John Hillerman , Yelburton , Darrell Zwerling , Hollis Mulwray , Diane Ladd , Ida Sessions , Roy Jenson , Mulvihill , Roman Polanski , Man with Knife , Richard Bakalyan , Loach(as Dick Bakalyan) , Joe Mantell , Walsh , Bruce Glover , Duffy , Nandu Hinds , Sophie , James O'Rear , Lawyer(as James O'Reare) , James Hong , Evelyn's Butler , Beulah Quo , Maid , Jerry Fujikawa , Gardener , Belinda Palmer , Katherine","A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",157,8.2,"https://m.media-amazon.com/images/M/MV5BMjJkMDZhYzItZTFhMi00ZGI4LThlNTAtZDNlYmEwNjFkNDYzXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,3,190,281_.jpg"
